report_date,game,team,batter,opponent_pitcher,hr_prob_pct,tb2_prob_pct,fair_hr_american,fair_2tb_american,market_hr_american,edge_hr_pct,market_tb_line,market_tb_over_american,edge_tb_pct,recent_form_score,bvp_pa,tier,hr_tier,tb2_tier,recommended_prop,recommended_tier,hr_market_status,tb2_market_status,data_confidence,market_data_status,scoring_status
2026-04-21,HOU@CLE,HOU,Carlos Correa,Parker Messick,0.40,16.84,+24900,+494,900,-9.60,0.5,-140,,0.456,0,D,D,D,,,priced_no_edge,line_mismatch_0.5,Display only,partial,not_scored
2026-04-21,HOU@CLE,HOU,Yordan Alvarez,Parker Messick,14.10,55.00,+609,-122,475,-3.30,0.5,-150,,0.920,1,A+,A+,A+,,,priced_no_edge,line_mismatch_0.5,Display only,partial,not_scored
2026-04-21,HOU@CLE,HOU,Jose Altuve,Parker Messick,0.40,11.72,+24900,+753,850,-10.13,0.5,-120,,0.382,0,D,D,D,,,priced_no_edge,line_mismatch_0.5,Display only,partial,not_scored
2026-04-21,HOU@CLE,HOU,Christian Walker,Parker Messick,3.73,25.48,+2579,+292,900,-6.27,0.5,100,,0.590,0,C,D,C,,,priced_no_edge,line_mismatch_0.5,Display only,partial,not_scored
2026-04-21,HOU@CLE,HOU,Isaac Paredes,Parker Messick,0.40,6.00,+24900,+1567,1000,-8.69,0.5,110,,0.473,1,D,D,D,,,priced_no_edge,line_mismatch_0.5,Display only,partial,not_scored
2026-04-21,HOU@CLE,HOU,Cam Smith,Parker Messick,1.10,15.94,+8952,+527,1100,-7.23,1.5,121,-29.31,0.299,0,D,D,D,,,priced_no_edge,priced_no_edge,Display only,full,not_scored
2026-04-21,HOU@CLE,HOU,Yainer Diaz,Parker Messick,0.40,6.00,+24900,+1567,1200,-7.29,0.5,-110,,0.301,0,D,D,D,,,priced_no_edge,line_mismatch_0.5,Display only,partial,not_scored
2026-04-21,HOU@CLE,HOU,Brice Matthews,Parker Messick,0.40,6.00,+24900,+1567,1350,-6.50,0.5,195,,0.270,0,D,D,D,,,priced_no_edge,line_mismatch_0.5,Display only,partial,not_scored
2026-04-21,HOU@CLE,HOU,Dustin Harris,Parker Messick,0.40,6.00,+24900,+1567,1350,-6.50,0.5,165,,0.342,0,D,D,D,,,priced_no_edge,line_mismatch_0.5,Display only,partial,not_scored
2026-04-21,HOU@CLE,CLE,Steven Kwan,Ryan Weiss,0.40,6.00,+24900,+1567,NA,,0.5,-130,,0.285,0,D,D,D,,,unpriced,line_mismatch_0.5,Display only,partial,not_scored
2026-04-21,HOU@CLE,CLE,Chase DeLauter,Ryan Weiss,9.01,32.42,+1010,+208,NA,,0.5,-110,,0.356,1,A,B,A,,,unpriced,line_mismatch_0.5,Display only,partial,not_scored
2026-04-21,HOU@CLE,CLE,José Ramírez,Ryan Weiss,13.86,50.61,+622,-102,NA,,1.5,-109,-1.54,0.882,2,A+,A+,A+,,,unpriced,priced_no_edge,Display only,partial,not_scored
