report_date,game,team,batter,opponent_pitcher,hr_prob_pct,tb2_prob_pct,fair_hr_american,fair_2tb_american,market_hr_american,edge_hr_pct,tier,data_confidence
2026-04-15,SF@CIN,SF,C. Schmitt,Rhett Lowder,4.81,23.75,+1977,+321,—,—,C,High
2026-04-15,SF@CIN,SF,W. Adames,Rhett Lowder,5.65,25.25,+1668,+296,—,—,C,High
2026-04-15,SF@CIN,SF,D. Susac,Rhett Lowder,5.04,24.20,+1882,+313,—,—,C,High
2026-04-15,SF@CIN,SF,R. Devers,Rhett Lowder,4.51,23.21,+2115,+331,—,—,C,High
2026-04-15,SF@CIN,CIN,S. Stewart,Tyler Mahle,10.56,32.67,+847,+206,—,—,A,High
2026-04-15,SF@CIN,CIN,E. De La Cruz,Tyler Mahle,8.84,29.59,+1031,+238,—,—,B,High
2026-04-15,SF@CIN,CIN,S. Steer,Tyler Mahle,8.85,29.60,+1030,+238,—,—,B,High
2026-04-15,LAA@NYY,LAA,M. Trout,Luis Gil,11.67,34.85,+757,+187,—,—,A,High
2026-04-15,LAA@NYY,LAA,Z. Neto,Luis Gil,6.54,25.66,+1430,+290,—,—,C,High
2026-04-15,LAA@NYY,LAA,J. Adell,Luis Gil,2.67,18.79,+3651,+432,—,—,D,High
2026-04-15,LAA@NYY,LAA,B. Rice,Luis Gil,11.11,33.85,+800,+195,—,—,A,High
2026-04-15,LAA@NYY,LAA,A. Judge,Luis Gil,11.02,33.68,+808,+197,—,—,A,High
2026-04-15,LAA@NYY,NYY,M. Trout,Jack Kochanowicz,12.10,35.11,+727,+185,—,—,A,High
2026-04-15,LAA@NYY,NYY,Z. Neto,Jack Kochanowicz,6.97,25.92,+1335,+286,—,—,C,High
2026-04-15,MIA@ATL,MIA,O. Caissie,Bryce Elder,0.98,19.35,+10104,+417,—,—,D,Low
2026-04-15,MIA@ATL,MIA,O. Lopez,Bryce Elder,0.98,19.35,+10104,+417,—,—,D,Low
2026-04-15,MIA@ATL,ATL,Ronald Acuña Jr.,Chris Paddack,8.42,30.56,+1087,+227,—,—,B,High
2026-04-15,MIA@ATL,ATL,D. Smith,Chris Paddack,2.73,20.40,+3556,+390,—,—,C,Low
2026-04-15,MIA@ATL,ATL,D. Baldwin,Chris Paddack,2.73,20.40,+3556,+390,—,—,C,Low
2026-04-15,MIA@ATL,ATL,M. Olson,Chris Paddack,2.73,20.40,+3556,+390,—,—,C,Low
2026-04-15,TB@CWS,TB,Y. Diaz,Sean Burke,1.75,19.81,+5631,+405,—,—,D,Low
2026-04-15,TB@CWS,TB,J. Caminero,Sean Burke,1.75,19.81,+5631,+405,—,—,D,Low
2026-04-15,TB@CWS,CWS,M. Murakami,Jesse Scholtens,1.64,19.74,+6009,+407,—,—,D,Low
2026-04-15,TOR@MIL,TOR,J. Sanchez,Chad Patrick,2.19,20.07,+4475,+398,—,—,C,Low
2026-04-15,TOR@MIL,TOR,V. Guerrero,Chad Patrick,2.19,20.07,+4475,+398,—,—,C,Low
2026-04-15,TOR@MIL,MIL,G. Sanchez,Dylan Cease,9.04,33.11,+1006,+202,—,—,A,High
2026-04-15,TOR@MIL,MIL,B. Turang,Dylan Cease,1.52,19.67,+6479,+408,—,—,D,Low
2026-04-15,TOR@MIL,MIL,G. Mitchell,Dylan Cease,1.52,19.67,+6479,+408,—,—,D,Low
2026-04-15,COL@HOU,HOU,Y. Alvarez,Jose Quintana,4.40,21.24,+2171,+371,—,—,C,Low
2026-04-15,COL@HOU,HOU,Cam Smith,Jose Quintana,4.40,21.24,+2171,+371,—,—,C,Low
2026-04-15,COL@HOU,HOU,C. Walker,Jose Quintana,4.40,21.24,+2171,+371,—,—,C,Low
2026-04-15,SEA@SD,SEA,L. Raley,Randy Vasquez,8.50,30.80,+1076,+225,—,—,B,High
2026-04-15,SEA@SD,SEA,D. Canzone,Randy Vasquez,2.65,20.35,+3668,+391,—,—,C,Low
2026-04-15,SEA@SD,SEA,B. Donovan,Randy Vasquez,2.65,20.35,+3668,+391,—,—,C,Low
2026-04-15,SEA@SD,SD,R. Laureano,Emerson Hancock,1.02,19.37,+9743,+416,—,—,D,Low
2026-04-15,SEA@SD,SD,J. Merrill,Emerson Hancock,1.02,19.37,+9743,+416,—,—,D,Low
2026-04-15,TEX@ATH,TEX,J. Burger,J.T. Ginn,1.03,19.38,+9571,+416,—,—,D,Low
2026-04-15,TEX@ATH,TEX,C. Seager,J.T. Ginn,1.03,19.38,+9571,+416,—,—,D,Low
2026-04-15,TEX@ATH,TEX,E. Carter,J.T. Ginn,1.03,19.38,+9571,+416,—,—,D,Low
2026-04-15,TEX@ATH,ATH,M. Muncy,Kumar Rocker,2.53,20.28,+3856,+393,—,—,C,Low
2026-04-15,TEX@ATH,ATH,N. Kurtz,Kumar Rocker,2.53,20.28,+3856,+393,—,—,C,Low
2026-04-15,TEX@ATH,ATH,S. Langeliers,Kumar Rocker,2.53,20.28,+3856,+393,—,—,C,Low
2026-04-15,NYM@LAD,NYM,F. Alvarez,Shohei Ohtani,8.33,32.41,+1100,+209,—,—,A,High
2026-04-15,NYM@LAD,NYM,F. Lindor,Shohei Ohtani,1.05,19.39,+9406,+416,—,—,D,Low
2026-04-15,NYM@LAD,LAD,M. Muncy,Clay Holmes,2.10,20.02,+4671,+400,—,—,C,Low
2026-04-15,NYM@LAD,LAD,F. Freeman,Clay Holmes,2.10,20.02,+4671,+400,—,—,C,Low
2026-04-15,NYM@LAD,LAD,A. Pages,Clay Holmes,2.10,20.02,+4671,+400,—,—,C,Low
2026-04-15,NYM@LAD,LAD,D. Rushing,Clay Holmes,2.10,20.02,+4671,+400,—,—,C,Low
