report_date,away,home,start_time_et,away_sp,home_sp,away_american,home_american,market_total,market_over_american,market_under_american,weather_summary,weather_temp_f,weather_wind_mph,weather_precip_pct,bullpen_away_score,bullpen_home_score,recent_form_away_score,recent_form_home_score,game_status_bucket,game_state,game_state_detail,game_status_note,away_score,home_score,verification_status,verification_notes,implied_away_pct_nv,implied_home_pct_nv,raw_model_away_win_pct,raw_model_home_win_pct,final_away_win_pct,final_home_win_pct,market_blend_alpha,model_away_win_pct,model_home_win_pct,edge_away_pct,edge_home_pct,prediction,decision_tier_vs_market,edge_on_pick_pct,model_confidence,missing_data_flags,analyst_confidence,rationale_summary,scoring_status
2026-04-20,DET,BOS,11:10 AM,Jack Flaherty,Sonny Gray,,,,,,43F / 2 mph wind / 1% precip / Open,43.4,2.0,1,0.416,0.455,0.468,0.406,final,Final,Final,"Final — DET 6, BOS 8",6,8,Partial,market_odds_unavailable|rotowire_missing,50.00,50.00,,,,,,,,,,,not_scored,,not_scored,market_odds_unavailable;rotowire_missing,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Jack Flaherty vs Sonny Gray. Run compute to refresh lineups, weather, and model outputs before staking.",not_scored
2026-04-20,HOU,CLE,6:10 PM,Spencer Arrighetti,Slade Cecconi,132,-154,8.5,-125,105,38F / 1 mph wind / 0% precip / Open,37.6,1.3,0,0.342,0.331,0.439,0.507,final,Final,Final,"Final — HOU 9, CLE 2",9,2,Partial,rotowire_lineup_mismatch|starter_mismatch_rotowire,41.55,58.45,,,,,,,,,,,not_scored,,not_scored,rotowire_lineup_mismatch;starter_mismatch_rotowire,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Spencer Arrighetti vs Slade Cecconi. Run compute to refresh lineups, weather, and model outputs before staking.",not_scored
2026-04-20,CIN,TB,6:40 PM,Rhett Lowder,Jesse Scholtens,-112,-104,7.5,-120,100,Live weather via compute,,,,0.370,0.354,0.421,0.475,final,Final,Final,"Final — CIN 6, TB 1",6,1,Partial,rotowire_lineup_mismatch|starter_mismatch_rotowire,50.89,49.11,,,,,,,,,,,not_scored,,not_scored,rotowire_lineup_mismatch;starter_mismatch_rotowire,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Rhett Lowder vs Jesse Scholtens. Run compute to refresh lineups, weather, and model outputs before staking.",not_scored
2026-04-20,STL,MIA,6:40 PM,Michael McGreevy,Max Meyer,-102,-115,8.5,-120,100,73F / 10 mph wind / 33% precip / Retractable,73.2,10.5,33,0.283,0.425,0.506,0.511,final,Final,Final,"Final — STL 3, MIA 5",3,5,Partial,rotowire_lineup_mismatch|starter_mismatch_rotowire,48.56,51.44,,,,,,,,,,,not_scored,,not_scored,rotowire_lineup_mismatch;starter_mismatch_rotowire,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Michael McGreevy vs Max Meyer. Run compute to refresh lineups, weather, and model outputs before staking.",not_scored
2026-04-20,ATL,WSH,6:45 PM,Bryce Elder,Jake Irvin,-152,132,8.5,-115,-105,50F / 9 mph wind / 0% precip / Open,49.8,9.3,0,0.472,0.325,0.608,0.487,final,Final,Final,"Final — ATL 9, WSH 4",9,4,Partial,rotowire_lineup_mismatch|starter_mismatch_rotowire,58.32,41.68,,,,,,,,,,,not_scored,,not_scored,rotowire_lineup_mismatch;starter_mismatch_rotowire,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Bryce Elder vs Jake Irvin. Run compute to refresh lineups, weather, and model outputs before staking.",not_scored
2026-04-20,BAL,KC,7:40 PM,Kyle Bradish,Seth Lugo,106,-125,9.0,-105,-115,72F / 14 mph wind / 0% precip / Open,71.8,14.0,0,0.470,0.305,0.476,0.369,final,Final,Final,"Final — BAL 7, KC 5",7,5,Partial,rotowire_unconfirmed|starter_mismatch_rotowire,46.63,53.37,,,,,,,,,,,not_scored,,not_scored,rotowire_unconfirmed;starter_mismatch_rotowire,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Kyle Bradish vs Seth Lugo. Run compute to refresh lineups, weather, and model outputs before staking.",not_scored
2026-04-20,PHI,CHC,7:40 PM,Aaron Nola,Colin Rea,109,-127,8.5,-115,-105,48F / 9 mph wind / 0% precip / Open,47.9,9.0,0,0.466,0.413,0.429,0.553,final,Final,Final,"Final — PHI 1, CHC 5",1,5,Partial,rotowire_unconfirmed|starter_mismatch_rotowire,46.10,53.90,,,,,,,,,,,not_scored,,not_scored,rotowire_unconfirmed;starter_mismatch_rotowire,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Aaron Nola vs Colin Rea. Run compute to refresh lineups, weather, and model outputs before staking.",not_scored
2026-04-20,LAD,COL,8:40 PM,Justin Wrobleski,Jose Quintana,-220,184,,,,76F / 8 mph wind / 0% precip / Open,75.8,7.9,0,0.353,0.359,0.610,0.514,final,Final,Final,"Final — LAD 12, COL 3",12,3,Partial,rotowire_missing,66.13,33.87,,,,,,,,,,,not_scored,,not_scored,rotowire_missing,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Justin Wrobleski vs Jose Quintana. Run compute to refresh lineups, weather, and model outputs before staking.",not_scored
2026-04-20,TOR,LAA,9:38 PM,Dylan Cease,Reid Detmers,-102,-114,9.5,-105,-115,67F / 9 mph wind / 0% precip / Open,67.0,8.7,0,0.425,0.386,0.481,0.593,final,Final,Final,"Final — TOR 5, LAA 2",5,2,Partial,rotowire_unconfirmed|starter_mismatch_rotowire,48.66,51.34,,,,,,,,,,,not_scored,,not_scored,rotowire_unconfirmed;starter_mismatch_rotowire,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Dylan Cease vs Reid Detmers. Run compute to refresh lineups, weather, and model outputs before staking.",not_scored
2026-04-20,ATH,SEA,9:40 PM,J.T. Ginn,Emerson Hancock,139,-165,8.0,-105,-115,67F / 2 mph wind / 3% precip / Retractable,66.7,2.3,3,0.398,0.392,0.480,0.470,final,Final,Final,"Final — ATH 6, SEA 4",6,4,Partial,rotowire_unconfirmed|starter_mismatch_rotowire,40.19,59.81,,,,,,,,,,,not_scored,,not_scored,rotowire_unconfirmed;starter_mismatch_rotowire,Medium,"Auto-generated live scaffold from MLB schedule + market odds: J.T. Ginn vs Emerson Hancock. Run compute to refresh lineups, weather, and model outputs before staking.",not_scored
