report_date,game,team,batter,opponent_pitcher,hr_prob_pct,tb2_prob_pct,fair_hr_american,fair_2tb_american,market_hr_american,edge_hr_pct,market_tb_line,market_tb_over_american,edge_tb_pct,recent_form_score,bvp_pa,tier,hr_tier,tb2_tier,recommended_prop,recommended_tier,hr_market_status,hr_market_integrity,tb2_market_status,data_confidence,market_data_status,scoring_status
2026-04-26,SD@AZ,SD,Ramón Laureano,Ryne Nelson,8.41,36.11,+1088,+177,240,-21.00,2.5,-103,,0.498,0,A,B,A,,,priced_no_edge,full,line_mismatch_2.5,Display only,partial,data_blocked
2026-04-26,SD@AZ,SD,Fernando Tatis Jr.,Ryne Nelson,5.95,28.43,+1580,+252,225,-24.82,2.5,-105,,0.382,0,B,C,B,,,priced_no_edge,full,line_mismatch_2.5,Display only,partial,data_blocked
2026-04-26,SD@AZ,SD,Jackson Merrill,Ryne Nelson,6.31,27.89,+1485,+259,261,-21.39,2.5,100,,0.446,0,C,C,C,,,priced_no_edge,full,line_mismatch_2.5,Display only,partial,data_blocked
2026-04-26,SD@AZ,SD,Manny Machado,Ryne Nelson,1.63,11.92,+6027,+739,273,-25.18,2.5,114,,0.268,0,D,D,D,,,priced_no_edge,full,line_mismatch_2.5,Display only,partial,data_blocked
2026-04-26,SD@AZ,SD,Xander Bogaerts,Ryne Nelson,8.01,38.16,+1149,+162,345,-14.47,1.5,-142,-20.52,0.729,0,A,B,A,,,priced_no_edge,full,priced_no_edge,Display only,full,data_blocked
2026-04-26,SD@AZ,SD,Gavin Sheets,Ryne Nelson,7.27,32.53,+1276,+207,248,-21.47,1.5,-138,-25.45,0.519,0,B,C,B,,,priced_no_edge,full,priced_no_edge,Display only,full,data_blocked
2026-04-26,SD@AZ,SD,Miguel Andujar,Ryne Nelson,2.82,26.17,+3448,+282,529,-13.08,1.5,-135,-31.28,0.533,0,C,D,C,,,priced_no_edge,full,priced_no_edge,Display only,full,data_blocked
2026-04-26,SD@AZ,SD,Luis Campusano,Ryne Nelson,11.03,49.42,+806,+102,466,-6.64,1.5,-116,-4.29,0.715,0,A+,A,A+,,,priced_no_edge,full,priced_no_edge,Display only,full,data_blocked
2026-04-26,SD@AZ,SD,Jake Cronenworth,Ryne Nelson,1.58,11.65,+6215,+759,471,-15.93,1.5,110,-35.97,0.324,0,D,D,D,,,priced_no_edge,full,priced_no_edge,Display only,full,data_blocked
2026-04-26,SD@AZ,AZ,Ildemaro Vargas,Michael King,7.56,37.79,+1223,+165,387,-12.97,1.5,-138,-20.19,0.785,0,A,C,A,,,priced_no_edge,full,priced_no_edge,Display only,full,data_blocked
