report_date,away,home,start_time_et,away_sp,home_sp,away_american,home_american,implied_away_pct_nv,implied_home_pct_nv,model_away_win_pct,model_home_win_pct,edge_away_pct,edge_home_pct,prediction,decision_tier_vs_market,edge_on_pick_pct,model_confidence,missing_data_flags,analyst_confidence,rationale_summary
2026-04-15,CHC,PHI,6:40 PM,Shota Imanaga,Jesus Luzardo,128,-140,42.92,57.08,51.01,48.99,8.09,-8.09,PHI,D,-8.09,Low,away LU; home LU,Low,Luzardo xERA (2.82) far better than surface ERA (6.23) — elite whiff/chase profile. Imanaga strong but lower velo limits ceiling. Hot weather + wind out elevates total. Lineups pro
2026-04-15,KC,DET,6:40 PM,Seth Lugo,Jack Flaherty,115,-130,45.14,54.86,49.81,50.19,4.67,-4.67,KC,B,4.67,Low,away LU; home LU,Low,"Lugo surface ERA (1.53) masks xERA (4.89) regression risk, but Flaherty's profile is worse across the board (xERA 6.65, 6th %tile hard-hit suppression, 7th %tile chase). Market pri"
2026-04-15,SF,CIN,6:40 PM,Tyler Mahle,Rhett Lowder,-110,102,51.41,48.59,45.15,54.85,-6.26,6.26,SF,D,-6.26,High,,Medium,"SF lineup confirmed with quality contact profiles (Schmitt 90th HH%tile, Devers 72nd). Lowder low-K profile (17th %tile) means more balls in play. CIN has power (De La Cruz, Stewar"
2026-04-15,WSH,PIT,6:40 PM,Jake Irvin,Mason Montgomery,152,-180,38.17,61.83,38.29,61.71,0.12,-0.12,PIT,D,-0.12,Low,away LU; home LU,Low,"Montgomery elite K profile (99th %tile, 97th velo) despite rough ERA. Irvin leaking hard contact (10th %tile HH suppression, 20% barrel rate). Heavy PIT price (-180) may be justifi"
2026-04-15,LAA,NYY,7:05 PM,Jack Kochanowicz,Luis Gil,158,-190,37.17,62.83,49.81,50.19,12.64,-12.64,NYY,D,-12.64,High,,Medium,"Both SPs project poorly (Kochanowicz xERA 6.05, Gil xERA 5.57). NYY lineup confirmed with elite contact cluster (Ben Rice 100th HH, Judge 100th BRL). Hot weather + wind out at Yank"
2026-04-15,MIA,ATL,7:15 PM,Chris Paddack,Bryce Elder,140,-166,40.04,59.96,29.82,70.18,-10.22,10.22,ATL,A+,10.22,High,,Medium,Elder xERA (2.35) backs up surface ERA (1.02) — legitimate run prevention with 88th xwOBA %tile. Paddack's underlying indicators weaker (xERA 4.30). ATL lineup has D. Smith (.599 x
2026-04-15,TB,CWS,7:40 PM,Jesse Scholtens,Sean Burke,-112,102,51.62,48.38,51.12,48.88,-0.51,0.51,TB,D,-0.51,High,weather risk,Low,"Scholtens tiny sample (17 PA) makes analysis difficult. Burke has quality underlying numbers (xERA 3.20, 70th xwOBA %tile). CWS lineup is one of weakest in MLB. Rain risk (58%) cou"
2026-04-15,TOR,MIL,7:40 PM,Dylan Cease,Chad Patrick,-122,104,52.85,47.15,57.80,42.20,4.94,-4.94,TOR,B,4.94,High,,Medium,"Cease elite swing-miss profile (97th K, 98th whiff, 85th chase) vs MIL lineup with exploitable chase/whiff holes. Patrick xERA (3.69) reveals regression from 0.73 ERA — low K (11th"
2026-04-15,COL,HOU,8:10 PM,Jose Quintana,Spencer Arrighetti,168,-190,36.29,63.71,34.81,65.19,-1.48,1.48,HOU,C,1.48,Medium,home SP xERA; home SP no Savant,Medium,"Quintana xERA (5.86) weak. HOU lineup has elite contact cluster: Y. Alvarez (100th xwOBA %tile, .799 xSLG), C. Walker (86th BRL), Cam Smith (92nd BRL). Arrighetti no Savant data av"
2026-04-15,SEA,SD,9:40 PM,Emerson Hancock,Randy Vasquez,-108,100,50.94,49.06,68.66,31.34,17.72,-17.72,SEA,A+,17.72,High,,Medium,"Hancock quality run prevention (xERA 2.39, 87th xwOBA %tile, 86th HH suppression). Vasquez surface ERA (1.02) masks xERA (4.21) — regression candidate. SEA lineup has L. Raley (94t"
2026-04-15,TEX,ATH,9:40 PM,Kumar Rocker,J.T. Ginn,108,-120,46.85,53.15,30.68,69.32,-16.16,16.16,ATH,A+,16.16,Medium,away LU,Low,"Ginn xERA (2.41) and 87th xwOBA %tile back quality profile. Rocker more hittable (xwOBA .321 vs Ginn .250). ATH lineup has Max Muncy (99th HH, .514 vs SL), Langeliers (74th BRL). T"
2026-04-15,NYM,LAD,10:00 PM,Clay Holmes,Shohei Ohtani,164,-192,36.55,63.45,37.47,62.53,0.92,-0.92,LAD,D,-0.92,High,,Medium,"Ohtani xERA (2.43), 87th xwOBA %tile, 88th velo — legitimate ace profile. Holmes surface ERA (1.50) masks xERA (3.59) — regression risk vs LAD contact quality. LAD lineup has Freem"
