report_date,game,team,batter,opponent_pitcher,hr_prob_pct,tb2_prob_pct,fair_hr_american,fair_2tb_american,market_hr_american,edge_hr_pct,market_tb_line,market_tb_over_american,edge_tb_pct,recent_form_score,bvp_pa,tier,hr_tier,tb2_tier,recommended_prop,recommended_tier,hr_market_status,hr_market_integrity,tb2_market_status,data_confidence,market_data_status,scoring_status
2026-04-30,DET@ATL,DET,Kevin McGonigle,Bryce Elder,,,,,NA,,1.5,150,,0.676,0,,,,,,not_scored,degraded,not_scored,Display only,partial,not_scored
2026-04-30,DET@ATL,DET,Gleyber Torres,Bryce Elder,,,,,NA,,1.5,300,,0.475,0,,,,,,not_scored,degraded,not_scored,Display only,partial,not_scored
2026-04-30,DET@ATL,DET,Colt Keith,Bryce Elder,,,,,NA,,1.5,150,,0.433,0,,,,,,not_scored,degraded,not_scored,Display only,partial,not_scored
2026-04-30,DET@ATL,DET,Riley Greene,Bryce Elder,,,,,NA,,1.5,150,,0.858,0,,,,,,not_scored,degraded,not_scored,Display only,partial,not_scored
2026-04-30,DET@ATL,DET,Spencer Torkelson,Bryce Elder,,,,,NA,,1.5,250,,0.831,0,,,,,,not_scored,degraded,not_scored,Display only,partial,not_scored
2026-04-30,DET@ATL,DET,Kerry Carpenter,Bryce Elder,,,,,NA,,1.5,150,,0.813,0,,,,,,not_scored,degraded,not_scored,Display only,partial,not_scored
2026-04-30,DET@ATL,DET,Matt Vierling,Bryce Elder,,,,,NA,,1.5,150,,0.383,0,,,,,,not_scored,degraded,not_scored,Display only,partial,not_scored
2026-04-30,DET@ATL,DET,Hao-Yu  Lee,Bryce Elder,,,,,NA,,1.5,150,,0.574,0,,,,,,not_scored,degraded,not_scored,Display only,partial,not_scored
2026-04-30,DET@ATL,DET,Jake Rogers,Bryce Elder,,,,,NA,,1.5,150,,0.354,0,,,,,,not_scored,degraded,not_scored,Display only,partial,not_scored
2026-04-30,DET@ATL,ATL,Ronald Acuña Jr.,Framber Valdez,,,,,NA,,1.5,150,,0.469,0,,,,,,not_scored,degraded,not_scored,Display only,partial,not_scored
2026-04-30,DET@ATL,ATL,Drake Baldwin,Framber Valdez,,,,,NA,,1.5,150,,0.566,0,,,,,,not_scored,degraded,not_scored,Display only,partial,not_scored
2026-04-30,DET@ATL,ATL,Ozzie Albies,Framber Valdez,,,,,NA,,1.5,350,,0.791,0,,,,,,not_scored,degraded,not_scored,Display only,partial,not_scored
2026-04-30,DET@ATL,ATL,Matt Olson,Framber Valdez,,,,,NA,,1.5,150,,0.827,0,,,,,,not_scored,degraded,not_scored,Display only,partial,not_scored
2026-04-30,DET@ATL,ATL,Austin Riley,Framber Valdez,,,,,NA,,1.5,150,,0.405,0,,,,,,not_scored,degraded,not_scored,Display only,partial,not_scored
2026-04-30,DET@ATL,ATL,Mauricio Dubón,Framber Valdez,,,,,NA,,1.5,150,,0.314,0,,,,,,not_scored,degraded,not_scored,Display only,partial,not_scored
2026-04-30,DET@ATL,ATL,Kyle Farmer,Framber Valdez,,,,,NA,,1.5,150,,0.425,0,,,,,,not_scored,degraded,not_scored,Display only,partial,not_scored
2026-04-30,DET@ATL,ATL,Jorge Mateo,Framber Valdez,,,,,NA,,1.5,150,,0.180,0,,,,,,not_scored,degraded,not_scored,Display only,partial,not_scored
2026-04-30,DET@ATL,ATL,Eli White,Framber Valdez,,,,,NA,,1.5,150,,0.562,0,,,,,,not_scored,degraded,not_scored,Display only,partial,not_scored
2026-04-30,STL@PIT,STL,JJ Wetherholt,Paul Skenes,,,,,NA,,1.5,550,,0.698,0,,,,,,not_scored,degraded,not_scored,Display only,partial,not_scored
2026-04-30,STL@PIT,STL,Iván Herrera,Paul Skenes,,,,,NA,,1.5,150,,0.792,0,,,,,,not_scored,degraded,not_scored,Display only,partial,not_scored
2026-04-30,STL@PIT,STL,Alec Burleson,Paul Skenes,,,,,NA,,1.5,250,,0.578,0,,,,,,not_scored,degraded,not_scored,Display only,partial,not_scored
2026-04-30,STL@PIT,STL,Jordan Walker,Paul Skenes,,,,,NA,,1.5,450,,0.325,0,,,,,,not_scored,degraded,not_scored,Display only,partial,not_scored
2026-04-30,STL@PIT,STL,Nolan Gorman,Paul Skenes,,,,,NA,,1.5,150,,0.500,0,,,,,,not_scored,degraded,not_scored,Display only,partial,not_scored
2026-04-30,STL@PIT,STL,Masyn Winn,Paul Skenes,,,,,NA,,1.5,100,,0.577,0,,,,,,not_scored,degraded,not_scored,Display only,partial,not_scored
2026-04-30,STL@PIT,STL,Nathan Church,Paul Skenes,,,,,NA,,1.5,150,,0.724,0,,,,,,not_scored,degraded,not_scored,Display only,partial,not_scored
2026-04-30,STL@PIT,STL,Pedro Pagés,Paul Skenes,,,,,NA,,1.5,250,,0.740,0,,,,,,not_scored,degraded,not_scored,Display only,partial,not_scored
2026-04-30,STL@PIT,STL,Victor Scott II,Paul Skenes,,,,,NA,,1.5,100,,0.233,0,,,,,,not_scored,degraded,not_scored,Display only,partial,not_scored
2026-04-30,STL@PIT,PIT,Oneil Cruz,Hunter Dobbins,,,,,NA,,1.5,150,,0.579,0,,,,,,not_scored,degraded,not_scored,Display only,partial,not_scored
