date,game,player,team,prop_type,line,market_odds,closing_odds,result,notes
2026-04-18,KC@NYY,Maikel Garcia,KC,HR,0.5,700,,L,"1 H, 2 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,KC@NYY,Maikel Garcia,KC,2+ TB,1.5,128,,W,"1 H, 2 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,KC@NYY,Bobby Witt Jr.,KC,HR,0.5,420,,L,"1 H, 1 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,KC@NYY,Bobby Witt Jr.,KC,2+ TB,1.5,-105,,L,"1 H, 1 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,KC@NYY,Vinnie Pasquantino,KC,HR,0.5,600,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,KC@NYY,Vinnie Pasquantino,KC,2+ TB,1.5,160,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,KC@NYY,Jac Caglianone,KC,HR,0.5,,,L,"1 H, 1 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,KC@NYY,Jac Caglianone,KC,2+ TB,1.5,100,,L,"1 H, 1 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,KC@NYY,Carter Jensen,KC,HR,0.5,,,W,"2 H, 5 TB, 1 HR, 2 R, 2 RBI"
2026-04-18,KC@NYY,Carter Jensen,KC,2+ TB,1.5,100,,W,"2 H, 5 TB, 1 HR, 2 R, 2 RBI"
2026-04-18,KC@NYY,Michael Massey,KC,HR,0.5,900,,L,"1 H, 2 TB, 0 HR, 0 R, 2 RBI"
2026-04-18,KC@NYY,Michael Massey,KC,2+ TB,1.5,220,,W,"1 H, 2 TB, 0 HR, 0 R, 2 RBI"
2026-04-18,KC@NYY,Isaac Collins,KC,HR,0.5,820,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,KC@NYY,Isaac Collins,KC,2+ TB,1.5,205,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,KC@NYY,Lane Thomas,KC,HR,0.5,790,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,KC@NYY,Lane Thomas,KC,2+ TB,1.5,190,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,KC@NYY,Kyle Isbel,KC,HR,0.5,,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,KC@NYY,Kyle Isbel,KC,2+ TB,1.5,,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,KC@NYY,Amed Rosario,NYY,HR,0.5,,,W,"2 H, 5 TB, 1 HR, 2 R, 3 RBI"
2026-04-18,KC@NYY,Amed Rosario,NYY,2+ TB,1.5,170,,W,"2 H, 5 TB, 1 HR, 2 R, 3 RBI"
2026-04-18,KC@NYY,Aaron Judge,NYY,HR,0.5,,,L,"0 H, 0 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,KC@NYY,Aaron Judge,NYY,2+ TB,1.5,120,,L,"0 H, 0 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,KC@NYY,Cody Bellinger,NYY,HR,0.5,,,W,"3 H, 9 TB, 2 HR, 2 R, 5 RBI"
2026-04-18,KC@NYY,Cody Bellinger,NYY,2+ TB,1.5,145,,W,"3 H, 9 TB, 2 HR, 2 R, 5 RBI"
2026-04-18,KC@NYY,Giancarlo Stanton,NYY,HR,0.5,,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,KC@NYY,Giancarlo Stanton,NYY,2+ TB,1.5,150,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,KC@NYY,Ben Rice,NYY,HR,0.5,,,W,"1 H, 4 TB, 1 HR, 1 R, 1 RBI"
2026-04-18,KC@NYY,Ben Rice,NYY,2+ TB,1.5,145,,W,"1 H, 4 TB, 1 HR, 1 R, 1 RBI"
2026-04-18,KC@NYY,Randal Grichuk,NYY,HR,0.5,,,L,"1 H, 2 TB, 0 HR, 1 R, 1 RBI"
2026-04-18,KC@NYY,Randal Grichuk,NYY,2+ TB,1.5,150,,W,"1 H, 2 TB, 0 HR, 1 R, 1 RBI"
2026-04-18,KC@NYY,Jazz Chisholm Jr.,NYY,HR,0.5,,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,KC@NYY,Jazz Chisholm Jr.,NYY,2+ TB,1.5,100,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,KC@NYY,José Caballero,NYY,HR,0.5,,,L,"2 H, 2 TB, 0 HR, 3 R, 0 RBI"
2026-04-18,KC@NYY,José Caballero,NYY,2+ TB,1.5,270,,W,"2 H, 2 TB, 0 HR, 3 R, 0 RBI"
2026-04-18,KC@NYY,J.C. Escarra,NYY,HR,0.5,,,L,"2 H, 5 TB, 0 HR, 2 R, 3 RBI"
2026-04-18,KC@NYY,J.C. Escarra,NYY,2+ TB,1.5,,,W,"2 H, 5 TB, 0 HR, 2 R, 3 RBI"
2026-04-18,CIN@MIN,TJ Friedl,CIN,HR,0.5,1000,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,CIN@MIN,TJ Friedl,CIN,2+ TB,1.5,205,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,CIN@MIN,Will Benson,CIN,HR,0.5,,,L,"1 H, 1 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,CIN@MIN,Will Benson,CIN,2+ TB,1.5,150,,L,"1 H, 1 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,CIN@MIN,Elly De La Cruz,CIN,HR,0.5,525,,L,"1 H, 1 TB, 0 HR, 0 R, 1 RBI"
2026-04-18,CIN@MIN,Elly De La Cruz,CIN,2+ TB,1.5,160,,L,"1 H, 1 TB, 0 HR, 0 R, 1 RBI"
2026-04-18,CIN@MIN,Sal Stewart,CIN,HR,0.5,525,,L,"1 H, 1 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,CIN@MIN,Sal Stewart,CIN,2+ TB,1.5,170,,L,"1 H, 1 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,CIN@MIN,Eugenio Suárez,CIN,HR,0.5,,,L,"2 H, 3 TB, 0 HR, 2 R, 0 RBI"
2026-04-18,CIN@MIN,Eugenio Suárez,CIN,2+ TB,1.5,100,,W,"2 H, 3 TB, 0 HR, 2 R, 0 RBI"
2026-04-18,CIN@MIN,Nathaniel Lowe,CIN,HR,0.5,,,L,"2 H, 3 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,CIN@MIN,Nathaniel Lowe,CIN,2+ TB,1.5,,,W,"2 H, 3 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,CIN@MIN,Tyler Stephenson,CIN,HR,0.5,525,,L,"1 H, 1 TB, 0 HR, 0 R, 2 RBI"
2026-04-18,CIN@MIN,Tyler Stephenson,CIN,2+ TB,1.5,148,,L,"1 H, 1 TB, 0 HR, 0 R, 2 RBI"
2026-04-18,CIN@MIN,Rece Hinds,CIN,HR,0.5,430,,L,"1 H, 1 TB, 0 HR, 1 R, 1 RBI"
2026-04-18,CIN@MIN,Rece Hinds,CIN,2+ TB,1.5,150,,L,"1 H, 1 TB, 0 HR, 1 R, 1 RBI"
2026-04-18,CIN@MIN,Ke'Bryan Hayes,CIN,HR,0.5,950,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,CIN@MIN,Ke'Bryan Hayes,CIN,2+ TB,1.5,210,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,CIN@MIN,Byron Buxton,MIN,HR,0.5,,,L,"1 H, 1 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,CIN@MIN,Byron Buxton,MIN,2+ TB,1.5,-151,,L,"1 H, 1 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,CIN@MIN,Austin Martin,MIN,HR,0.5,,,L,"0 H, 0 TB, 0 HR, 2 R, 0 RBI"
2026-04-18,CIN@MIN,Austin Martin,MIN,2+ TB,1.5,,,L,"0 H, 0 TB, 0 HR, 2 R, 0 RBI"
2026-04-18,CIN@MIN,Josh Bell,MIN,HR,0.5,,,L,"2 H, 2 TB, 0 HR, 2 R, 0 RBI"
2026-04-18,CIN@MIN,Josh Bell,MIN,2+ TB,1.5,192,,W,"2 H, 2 TB, 0 HR, 2 R, 0 RBI"
2026-04-18,CIN@MIN,Ryan Jeffers,MIN,HR,0.5,,,L,"1 H, 3 TB, 0 HR, 0 R, 2 RBI"
2026-04-18,CIN@MIN,Ryan Jeffers,MIN,2+ TB,1.5,,,W,"1 H, 3 TB, 0 HR, 0 R, 2 RBI"
2026-04-18,CIN@MIN,Luke Keaschall,MIN,HR,0.5,,,L,"2 H, 3 TB, 0 HR, 0 R, 1 RBI"
2026-04-18,CIN@MIN,Luke Keaschall,MIN,2+ TB,1.5,162,,W,"2 H, 3 TB, 0 HR, 0 R, 1 RBI"
2026-04-18,CIN@MIN,Trevor Larnach,MIN,HR,0.5,,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,CIN@MIN,Trevor Larnach,MIN,2+ TB,1.5,228,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,CIN@MIN,Brooks Lee,MIN,HR,0.5,,,L,"1 H, 1 TB, 0 HR, 0 R, 1 RBI"
2026-04-18,CIN@MIN,Brooks Lee,MIN,2+ TB,1.5,180,,L,"1 H, 1 TB, 0 HR, 0 R, 1 RBI"
2026-04-18,CIN@MIN,Ryan Kreidler,MIN,HR,0.5,,,L,"1 H, 2 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,CIN@MIN,Ryan Kreidler,MIN,2+ TB,1.5,,,W,"1 H, 2 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,CIN@MIN,Tristan Gray,MIN,HR,0.5,,,L,"1 H, 1 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,CIN@MIN,Tristan Gray,MIN,2+ TB,1.5,200,,L,"1 H, 1 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,NYM@CHC,Carson Benge,NYM,HR,0.5,1150,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,NYM@CHC,Carson Benge,NYM,2+ TB,1.5,,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI; market line 0.5 excluded from 2+ TB ROI"
2026-04-18,NYM@CHC,Bo Bichette,NYM,HR,0.5,975,,L,"1 H, 1 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,NYM@CHC,Bo Bichette,NYM,2+ TB,1.5,160,,L,"1 H, 1 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,NYM@CHC,Francisco Lindor,NYM,HR,0.5,700,,L,"2 H, 2 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,NYM@CHC,Francisco Lindor,NYM,2+ TB,1.5,210,,W,"2 H, 2 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,NYM@CHC,Luis Robert Jr.,NYM,HR,0.5,588,,L,"2 H, 3 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,NYM@CHC,Luis Robert Jr.,NYM,2+ TB,1.5,145,,W,"2 H, 3 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,NYM@CHC,MJ Melendez,NYM,HR,0.5,575,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,NYM@CHC,MJ Melendez,NYM,2+ TB,1.5,,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI; market line 0.5 excluded from 2+ TB ROI"
2026-04-18,NYM@CHC,Francisco Alvarez,NYM,HR,0.5,,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,NYM@CHC,Francisco Alvarez,NYM,2+ TB,1.5,50,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,NYM@CHC,Mark Vientos,NYM,HR,0.5,625,,W,"1 H, 4 TB, 1 HR, 1 R, 1 RBI"
2026-04-18,NYM@CHC,Mark Vientos,NYM,2+ TB,1.5,170,,W,"1 H, 4 TB, 1 HR, 1 R, 1 RBI"
2026-04-18,NYM@CHC,Brett Baty,NYM,HR,0.5,900,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,NYM@CHC,Brett Baty,NYM,2+ TB,1.5,260,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,NYM@CHC,Marcus Semien,NYM,HR,0.5,800,,L,"1 H, 1 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,NYM@CHC,Marcus Semien,NYM,2+ TB,1.5,175,,L,"1 H, 1 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,NYM@CHC,Nico Hoerner,CHC,HR,0.5,,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,NYM@CHC,Nico Hoerner,CHC,2+ TB,1.5,170,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,NYM@CHC,Michael Busch,CHC,HR,0.5,,,L,"1 H, 1 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,NYM@CHC,Michael Busch,CHC,2+ TB,1.5,128,,L,"1 H, 1 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,NYM@CHC,Alex Bregman,CHC,HR,0.5,,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,NYM@CHC,Alex Bregman,CHC,2+ TB,1.5,130,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,NYM@CHC,Ian Happ,CHC,HR,0.5,,,W,"1 H, 4 TB, 1 HR, 2 R, 1 RBI"
2026-04-18,NYM@CHC,Ian Happ,CHC,2+ TB,1.5,148,,W,"1 H, 4 TB, 1 HR, 2 R, 1 RBI"
2026-04-18,NYM@CHC,Seiya Suzuki,CHC,HR,0.5,,,L,"0 H, 0 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,NYM@CHC,Seiya Suzuki,CHC,2+ TB,1.5,140,,L,"0 H, 0 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,NYM@CHC,Moisés Ballesteros,CHC,HR,0.5,,,L,"1 H, 1 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,NYM@CHC,Moisés Ballesteros,CHC,2+ TB,1.5,,,L,"1 H, 1 TB, 0 HR, 0 R, 0 RBI; market line 0.5 excluded from 2+ TB ROI"
2026-04-18,NYM@CHC,Miguel Amaya,CHC,HR,0.5,,,L,"1 H, 1 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,NYM@CHC,Miguel Amaya,CHC,2+ TB,1.5,,,L,"1 H, 1 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,NYM@CHC,Pete Crow-Armstrong,CHC,HR,0.5,,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,NYM@CHC,Pete Crow-Armstrong,CHC,2+ TB,1.5,160,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,NYM@CHC,Dansby Swanson,CHC,HR,0.5,,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,NYM@CHC,Dansby Swanson,CHC,2+ TB,1.5,,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI; market line 0.5 excluded from 2+ TB ROI"
2026-04-18,TB@PIT,Chandler Simpson,TB,HR,0.5,2000,,L,"2 H, 2 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,TB@PIT,Chandler Simpson,TB,2+ TB,1.5,-103,,W,"2 H, 2 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,TB@PIT,Junior Caminero,TB,HR,0.5,1025,,L,"2 H, 3 TB, 0 HR, 1 R, 1 RBI"
2026-04-18,TB@PIT,Junior Caminero,TB,2+ TB,1.5,372,,W,"2 H, 3 TB, 0 HR, 1 R, 1 RBI"
2026-04-18,TB@PIT,Jonathan Aranda,TB,HR,0.5,1350,,L,"2 H, 2 TB, 0 HR, 1 R, 1 RBI"
2026-04-18,TB@PIT,Jonathan Aranda,TB,2+ TB,1.5,405,,W,"2 H, 2 TB, 0 HR, 1 R, 1 RBI"
2026-04-18,TB@PIT,Yandy Díaz,TB,HR,0.5,1250,,L,"1 H, 1 TB, 0 HR, 1 R, 0 RBI"
